TIME,VALUE,DURATION,LABEL
4262.896326531,0,2.501224490,boos
4293.204897959,0,2.135510204,cheering
4297.970068027,0,4.545306122,cheering
4336.808344671,0,1.102947846,boos
4375.147392290,0,5.703401361,cheering
4389.427664399,0,4.179591837,cheering
4409.251700680,0,5.485714286,cheering
4449.280000000,0,1.658775510,cheering
4537.752380952,0,4.581587302,boos
4542.472562358,0,0.692970522,air_horn
4608.452789116,0,4.841360544,cheering
4625.763265306,0,1.317732426,cheering
4637.402267574,0,7.964444444,cheering
4676.249251701,0,0.853333333,air_horn
4735.744580499,0,0.615328798,cheering
4736.463492063,0,0.442630385,air_horn
4782.463129252,0,3.123083900,cheering
4799.402086168,0,4.852970522,cheering
4823.121269841,0,2.844444444,cheering
4865.696507937,0,1.950476190,cheering
4887.974603175,0,5.475555556,cheering
4893.592380952,0,28.444444444,boos
4918.638004535,0,0.734331066,air_horn
4938.559274376,0,3.320453515,boos
4976.822857143,0,3.774693878,cheering
4984.346122449,0,2.351020408,cheering
5005.154104308,0,2.763174603,boos
5030.156190476,0,3.326258503,boos
5063.697414966,0,5.363809524,boos
5082.717460317,0,2.394557823,cheering
5101.541587302,0,1.462857143,boos
5131.160816327,0,0.711836735,air_horn
5144.672653061,0,5.557551020,boos
5193.488979592,0,4.617142857,cheering
5202.782040816,0,0.881632653,cheering
5275.075918367,0,1.149387755,cheering
5303.627755102,0,0.901224490,boos
5362.050612245,0,3.700680272,cheering
5379.931428571,0,2.143492063,cheering
5596.180317460,0,0.741587302,cheering
5668.947301587,0,2.031746032,air_horn
5684.033015873,0,2.016507937,air_horn
5717.298503401,0,1.648616780,air_horn
